"No.","Time","Source","Destination","Protocol","Length","Info"
"34","0.316593","172.16.3.2","172.16.1.2","MPTCP","74","22  >  18641 [ACK] Seq=1835 Ack=2311 Win=65728 Len=0 TSval=1458448677 TSecr=4060632904"
"35","0.323529","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 34#1] 22  >  18641 [ACK] Seq=1835 Ack=2311 Win=65728 Len=0 TSval=1458448693 TSecr=4060632920"
"36","0.324095","172.16.3.2","172.16.1.2","SSHv2","158","Server: "
"37","0.354182","172.16.1.2","172.16.3.2","SSHv2","150","Client: "
"38","0.365547","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=1911 Ack=2379 Win=65728 Len=0 TSval=1458448727 TSecr=4060632962"
"39","0.365568","172.16.3.2","172.16.1.2","SSHv2","126","Server: "
"40","0.368455","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 38#1] 22  >  18641 [ACK] Seq=1955 Ack=2379 Win=65728 Len=0 TSval=1458448732 TSecr=4060632962"
"41","0.371279","172.16.1.2","172.16.3.2","MPTCP","74","18641  >  22 [ACK] Seq=2379 Ack=1955 Win=65728 Len=0 TSval=4060632973 TSecr=1458448727"
"42","0.372705","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"43","0.372738","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"44","0.372753","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"45","0.372769","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"46","0.372842","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"47","0.372886","172.16.1.2","172.16.3.2","SSHv2","1150","Client: "
"48","0.373554","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"49","0.373576","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"50","0.373589","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"51","0.373687","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"52","0.373744","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"53","0.373786","172.16.1.2","172.16.3.2","SSHv2","1150","Client: "
"54","0.386163","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=1955 Ack=5243 Win=65728 Len=0 TSval=1458448747 TSecr=4060632973"
"55","0.386203","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"56","0.386238","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"57","0.386306","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"58","0.386342","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"59","0.386609","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=1955 Ack=8107 Win=65728 Len=0 TSval=1458448753 TSecr=4060632973"
"60","0.386636","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"61","0.386670","172.16.1.2","172.16.3.2","SSHv2","1150","Client: "
"62","0.386703","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"63","0.386742","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"64","0.386780","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 59#1] 22  >  18641 [ACK] Seq=1955 Ack=8107 Win=65728 Len=0 TSval=1458448753 TSecr=4060632973"
"65","0.406508","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=1955 Ack=10607 Win=65728 Len=0 TSval=1458448763 TSecr=4060632973"
"66","0.406579","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"67","0.406597","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"68","0.407021","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=1955 Ack=13471 Win=65728 Len=0 TSval=1458448778 TSecr=4060632973"
"69","0.407036","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=1955 Ack=16335 Win=65728 Len=0 TSval=1458448778 TSecr=4060632973"
"70","0.407310","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 69#1] 22  >  18641 [ACK] Seq=1955 Ack=16335 Win=65728 Len=0 TSval=1458448778 TSecr=4060632973"
"71","0.426457","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=1955 Ack=18835 Win=65728 Len=0 TSval=1458448782 TSecr=4060632973"
"72","0.426994","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=1955 Ack=21699 Win=65728 Len=0 TSval=1458448794 TSecr=4060632992"
"73","0.427002","172.16.3.2","172.16.1.2","MPTCP","74","22  >  18641 [ACK] Seq=1955 Ack=23131 Win=65728 Len=0 TSval=1458448794 TSecr=4060632992"
"74","0.443261","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"75","0.443280","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"76","0.443291","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"77","0.443302","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"78","0.443312","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"79","0.443326","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"80","0.443399","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"81","0.443423","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"82","0.443438","172.16.1.2","172.16.3.2","SSHv2","642","Client: "
